timestamp,interface,rx_bytes_per_sec,tx_bytes_per_sec
2026-01-22 10:40:39,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:40,"intel[r] wi-fi 6 ax201 160mhz",333,333
2026-01-22 10:40:41,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:42,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:40:43,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:44,"intel[r] wi-fi 6 ax201 160mhz",259,259
2026-01-22 10:40:45,"intel[r] wi-fi 6 ax201 160mhz",246,246
2026-01-22 10:40:46,"intel[r] wi-fi 6 ax201 160mhz",59,59
2026-01-22 10:40:47,"intel[r] wi-fi 6 ax201 160mhz",314,314
2026-01-22 10:40:48,"intel[r] wi-fi 6 ax201 160mhz",27,27
2026-01-22 10:40:49,"intel[r] wi-fi 6 ax201 160mhz",532,532
2026-01-22 10:40:50,"intel[r] wi-fi 6 ax201 160mhz",162,162
2026-01-22 10:40:51,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:52,"intel[r] wi-fi 6 ax201 160mhz",179,179
2026-01-22 10:40:53,"intel[r] wi-fi 6 ax201 160mhz",343,343
2026-01-22 10:40:54,"intel[r] wi-fi 6 ax201 160mhz",61,61
2026-01-22 10:40:55,"intel[r] wi-fi 6 ax201 160mhz",166,166
2026-01-22 10:40:56,"intel[r] wi-fi 6 ax201 160mhz",754,754
2026-01-22 10:40:57,"intel[r] wi-fi 6 ax201 160mhz",336,336
2026-01-22 10:40:58,"intel[r] wi-fi 6 ax201 160mhz",41,41
2026-01-22 10:40:59,"intel[r] wi-fi 6 ax201 160mhz",257,257
2026-01-22 10:41:00,"intel[r] wi-fi 6 ax201 160mhz",27,27
2026-01-22 10:41:01,"intel[r] wi-fi 6 ax201 160mhz",187,187
2026-01-22 10:41:02,"intel[r] wi-fi 6 ax201 160mhz",179,179
2026-01-22 10:41:03,"intel[r] wi-fi 6 ax201 160mhz",21,21
2026-01-22 10:41:04,"intel[r] wi-fi 6 ax201 160mhz",129,129
2026-01-22 10:41:05,"intel[r] wi-fi 6 ax201 160mhz",274,274
2026-01-22 10:41:06,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:41:07,"intel[r] wi-fi 6 ax201 160mhz",268,268
2026-01-22 10:41:08,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:41:10,"intel[r] wi-fi 6 ax201 160mhz",147,147
2026-01-22 10:41:10,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:41:11,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:41:12,"intel[r] wi-fi 6 ax201 160mhz",316,316
2026-01-22 10:41:13,"intel[r] wi-fi 6 ax201 160mhz",81,81
2026-01-22 10:41:14,"intel[r] wi-fi 6 ax201 160mhz",173,173
2026-01-22 10:41:15,"intel[r] wi-fi 6 ax201 160mhz",341,341
2026-01-22 10:41:16,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:41:18,"intel[r] wi-fi 6 ax201 160mhz",138,138
2026-01-22 10:41:18,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:41:19,"intel[r] wi-fi 6 ax201 160mhz",54,54
2026-01-22 10:41:20,"intel[r] wi-fi 6 ax201 160mhz",514,514
2026-01-22 10:41:21,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:41:22,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:41:23,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:41:25,"intel[r] wi-fi 6 ax201 160mhz",172,172
2026-01-22 10:41:26,"intel[r] wi-fi 6 ax201 160mhz",414,414
2026-01-22 10:41:26,"intel[r] wi-fi 6 ax201 160mhz",250,250
2026-01-22 10:41:27,"intel[r] wi-fi 6 ax201 160mhz",361,361
2026-01-22 10:41:28,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:41:30,"intel[r] wi-fi 6 ax201 160mhz",27,27
2026-01-22 10:41:31,"intel[r] wi-fi 6 ax201 160mhz",41,41
2026-01-22 10:41:32,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:41:33,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:41:34,"intel[r] wi-fi 6 ax201 160mhz",338,338
2026-01-22 10:41:35,"intel[r] wi-fi 6 ax201 160mhz",54,54
2026-01-22 10:41:36,"intel[r] wi-fi 6 ax201 160mhz",153,153
2026-01-22 10:41:37,"intel[r] wi-fi 6 ax201 160mhz",312,312
2026-01-22 10:41:38,"intel[r] wi-fi 6 ax201 160mhz",138,138
2026-01-22 10:41:39,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:41:40,"intel[r] wi-fi 6 ax201 160mhz",0,0
